contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
GOOGL230120P01950000,2021-12-28 20:43:09+00:00,1950.0,44.2,41.0,50.7,0.0,0.0,4,59,0.3374165990447998,False,REGULAR,USD
GOOGL230120P01960000,2021-12-27 20:49:02+00:00,1960.0,47.8,42.1,50.0,0.0,0.0,44,114,0.33269023639678963,False,REGULAR,USD
GOOGL230120P01980000,2021-12-30 18:54:08+00:00,1980.0,49.5,44.6,54.0,0.0,0.0,1,94,0.33395288856506355,False,REGULAR,USD
GOOGL230120P02000000,2021-12-29 17:10:25+00:00,2000.0,51.12,46.8,56.5,0.0,0.0,1,517,0.33204174434661865,False,REGULAR,USD
GOOGL230120P02050000,2021-12-29 17:10:25+00:00,2050.0,57.46,53.0,63.0,0.0,0.0,1,98,0.3270483555603027,False,REGULAR,USD
GOOGL230120P02100000,2022-01-03 20:01:13+00:00,2100.0,65.92,60.2,69.5,0.11999512,0.18236339,8,267,0.32118140983581533,False,REGULAR,USD
GOOGL230120P02150000,2022-01-03 20:01:13+00:00,2150.0,73.42,67.6,77.0,-0.08000183,-0.10884603,4,71,0.31607739593505857,False,REGULAR,USD
GOOGL230120P02200000,2022-01-03 20:10:01+00:00,2200.0,80.0,76.2,85.5,-2.199997,-2.6763954,90,191,0.3115551175498962,False,REGULAR,USD
GOOGL230120P02250000,2022-01-03 20:09:01+00:00,2250.0,89.0,84.5,94.5,1.5,1.7142856,10,50,0.3067963302993774,False,REGULAR,USD
GOOGL230120P02300000,2022-01-03 20:08:22+00:00,2300.0,100.0,95.6,104.5,-3.0,-2.9126215,5,581,0.3024247309494018,False,REGULAR,USD
GOOGL230120P02350000,2022-01-03 20:10:58+00:00,2350.0,109.16,104.1,118.5,1.1600037,1.0740775,24,185,0.3019345472526551,False,REGULAR,USD
GOOGL230120P02400000,2022-01-03 20:08:24+00:00,2400.0,122.7,116.1,130.1,1.3899994,1.1458242,8,531,0.29741608352661125,False,REGULAR,USD
GOOGL230120P02450000,2022-01-03 20:08:16+00:00,2450.0,135.9,128.4,143.0,-1.3500061,-0.98361105,6,200,0.29341450611114495,False,REGULAR,USD
GOOGL230120P02500000,2022-01-03 20:08:16+00:00,2500.0,149.8,142.3,156.5,-0.19999695,-0.1333313,5,192,0.2890963119888305,False,REGULAR,USD
GOOGL230120P02550000,2022-01-03 19:57:38+00:00,2550.0,165.8,156.0,171.5,2.800003,1.7177932,1,79,0.28536557537078855,False,REGULAR,USD
GOOGL230120P02600000,2022-01-03 20:06:50+00:00,2600.0,180.31,172.5,188.0,-4.800003,-2.5930545,11,463,0.28211930046081535,False,REGULAR,USD
GOOGL230120P02650000,2021-12-30 18:22:23+00:00,2650.0,201.37,189.5,205.5,7.98999,4.131756,1,169,0.2788158056640625,False,REGULAR,USD
GOOGL230120P02700000,2022-01-03 18:03:22+00:00,2700.0,217.0,207.0,225.0,0.0,0.0,8,83,0.2763439065551757,False,REGULAR,USD
GOOGL230120P02750000,2021-12-29 14:30:21+00:00,2750.0,234.5,227.0,243.0,6.699997,2.9411752,2,169,0.27150310413360595,False,REGULAR,USD
GOOGL230120P02800000,2022-01-03 19:35:01+00:00,2800.0,259.9,248.0,266.0,-0.1000061,-0.038463887,2,100,0.2700993095779419,False,REGULAR,USD
GOOGL230120P02850000,2021-12-28 20:14:11+00:00,2850.0,272.9,271.0,289.0,0.0,0.0,1,51,0.2676331324577331,False,REGULAR,USD
GOOGL230120P02900000,2022-01-03 20:48:17+00:00,2900.0,304.7,302.3,313.0,-0.2999878,-0.09835665,22,180,0.26499911033630363,True,REGULAR,USD
GOOGL230120P02950000,2022-01-03 17:40:18+00:00,2950.0,334.7,320.5,338.5,6.6200256,2.0178084,2,37,0.26261685571670534,True,REGULAR,USD
GOOGL230120P03000000,2022-01-03 15:01:58+00:00,3000.0,364.91,350.8,366.0,16.98999,4.8833036,1,103,0.26090598110198976,True,REGULAR,USD
GOOGL230120P03050000,2021-12-08 17:01:58+00:00,3050.0,398.52,375.0,393.5,0.0,0.0,4,20,0.258179453496933,True,REGULAR,USD
GOOGL230120P03100000,2021-12-28 19:38:19+00:00,3100.0,404.5,405.0,423.0,0.0,0.0,1,83,0.256135749874115,True,REGULAR,USD
GOOGL230120P03150000,2021-11-15 20:36:54+00:00,3150.0,440.6,449.0,467.0,0.0,0.0,13,20,0.26551408931732173,True,REGULAR,USD
GOOGL230120P03200000,2022-01-03 16:47:21+00:00,3200.0,480.0,467.0,486.0,26.0,5.7268724,1,41,0.25247749177932743,True,REGULAR,USD
GOOGL230120P03250000,2021-12-29 17:32:14+00:00,3250.0,506.25,500.0,519.5,0.0,0.0,1,18,0.2509163425350189,True,REGULAR,USD
GOOGL230120P03300000,2021-11-22 14:48:15+00:00,3300.0,533.6,533.0,553.0,0.0,0.0,2,15,0.24837482589721682,True,REGULAR,USD
GOOGL230120P03350000,2021-12-27 19:09:52+00:00,3350.0,555.21,570.5,590.0,0.0,0.0,1,12,0.2480620238494873,True,REGULAR,USD
GOOGL230120P03400000,2021-12-27 19:08:58+00:00,3400.0,589.71,608.0,627.0,0.0,0.0,1,9,0.24685277690887453,True,REGULAR,USD
GOOGL230120P03450000,2021-12-27 19:07:02+00:00,3450.0,625.89,645.5,664.5,0.0,0.0,3,5,0.24520102951049805,True,REGULAR,USD
GOOGL230120P03500000,2022-01-03 17:35:52+00:00,3500.0,696.8,684.5,703.5,21.47998,3.1807113,2,19,0.2441252956390381,True,REGULAR,USD
GOOGL230120P03550000,2021-10-27 17:40:45+00:00,3550.0,718.1,805.0,823.5,0.0,0.0,33,64,0.32221136779785153,True,REGULAR,USD
GOOGL230120P03600000,2021-11-30 19:10:27+00:00,3600.0,843.8,751.5,770.0,0.0,0.0,1,49,0.2259064836883545,True,REGULAR,USD
GOOGL230120P03700000,2021-11-10 11:53:38+00:00,3700.0,905.29,824.5,843.5,0.0,0.0,5,14,0.20792036594390867,True,REGULAR,USD
GOOGL230120P03800000,2021-11-10 11:53:38+00:00,3800.0,1115.1,907.5,926.0,0.0,0.0,2,7,0.1938404591369629,True,REGULAR,USD
GOOGL230120P03900000,2021-12-22 19:10:53+00:00,3900.0,1032.96,1026.0,1044.0,0.0,0.0,1,4,0.23779677616119382,True,REGULAR,USD
GOOGL230120P04000000,2021-12-27 14:54:02+00:00,4000.0,1082.2,1117.5,1135.5,0.0,0.0,15,35,0.23735427570343015,True,REGULAR,USD
GOOGL230120P04100000,2021-12-07 14:35:48+00:00,4100.0,1216.7,1211.0,1229.0,0.0,0.0,2,15,0.2378730693435669,True,REGULAR,USD
GOOGL230120P04200000,2021-11-05 14:18:20+00:00,4200.0,1241.86,1382.0,1400.0,0.0,0.0,1,37,0.35411336200714105,True,REGULAR,USD
GOOGL230120P04300000,2021-11-10 11:53:38+00:00,4300.0,1449.2,1356.0,1374.0,0.0,0.0,2,23,1.0000000000000003e-05,True,REGULAR,USD
GOOGL230120P04400000,2021-12-08 14:33:15+00:00,4400.0,1456.0,1498.0,1517.0,0.0,0.0,1,13,0.24327844131469728,True,REGULAR,USD
GOOGL230120P04500000,2021-12-06 14:35:57+00:00,4500.0,1663.0,1595.5,1614.5,0.0,0.0,4,5,0.24577322837829588,True,REGULAR,USD
