Date,Open,High,Low,Close,Adj Close,Volume
2018-06-08,7.240000,7.394000,7.145000,7.220000,7.220000,322800
2018-06-11,7.220000,7.310000,7.200000,7.250000,7.250000,252000
2018-06-12,7.250000,7.800000,7.250000,7.710000,7.710000,737900
2018-06-13,7.760000,8.170000,7.750000,8.100000,8.100000,669600
2018-06-14,8.140000,8.277000,7.980000,8.140000,8.140000,507000
2018-06-15,8.130000,8.220000,8.050000,8.170000,8.170000,355700
2018-06-18,8.170000,8.240000,7.920000,7.990000,7.990000,512400
2018-06-19,7.920000,8.100000,7.740000,8.020000,8.020000,354900
2018-06-20,8.040000,8.120000,7.810000,7.910000,7.910000,398300
2018-06-21,7.950000,8.019000,6.880000,7.730000,7.730000,1093600
2018-06-22,7.740000,7.790000,7.450000,7.775000,7.775000,869600
2018-06-25,7.770000,7.770000,7.380000,7.560000,7.560000,420700
2018-06-26,7.550000,7.579000,7.297000,7.420000,7.420000,358200
2018-06-27,7.440000,7.460000,7.135000,7.230000,7.230000,362700
2018-06-28,7.210000,7.370000,6.910000,7.250000,7.250000,407800
2018-06-29,7.610000,7.611000,6.610000,6.750000,6.750000,814900
2018-07-02,6.760000,6.760000,6.010000,6.580000,6.580000,945100
2018-07-03,6.660000,6.660000,6.310000,6.470000,6.470000,199900
2018-07-05,6.530000,6.570000,6.290000,6.490000,6.490000,304900
2018-07-06,6.500000,6.570000,6.350000,6.400000,6.400000,341400
2018-07-09,6.400000,6.520000,6.140000,6.400000,6.400000,379700
2018-07-10,6.390000,6.540000,6.260000,6.380000,6.380000,264000
2018-07-11,6.260000,6.630000,6.210000,6.520000,6.520000,535200
2018-07-12,6.520000,6.680000,6.220000,6.590000,6.590000,602400
2018-07-13,6.650000,6.711000,6.530000,6.560000,6.560000,423500
2018-07-16,6.540000,6.730000,6.120000,6.200000,6.200000,462300
2018-07-17,6.210000,6.268000,6.080000,6.220000,6.220000,198300
2018-07-18,6.190000,6.280000,6.060000,6.270000,6.270000,235900
2018-07-19,6.290000,6.585000,6.200000,6.430000,6.430000,625000
2018-07-20,6.400000,6.410000,6.020000,6.070000,6.070000,586300
2018-07-23,6.080000,6.130000,5.880000,6.040000,6.040000,487500
2018-07-24,6.030000,6.060000,5.829000,5.860000,5.860000,354400
2018-07-25,5.860000,5.870000,5.670000,5.760000,5.760000,305000
2018-07-26,5.750000,5.840000,5.611000,5.730000,5.730000,216400
2018-07-27,5.740000,5.748000,5.470000,5.500000,5.500000,305700
2018-07-30,5.510000,5.530000,5.230000,5.450000,5.450000,364000
2018-07-31,5.430000,5.580000,5.360000,5.550000,5.550000,221300
2018-08-01,5.510000,5.660000,5.480000,5.580000,5.580000,202500
2018-08-02,5.570000,5.630000,5.500000,5.540000,5.540000,192700
2018-08-03,5.540000,5.620000,5.340000,5.420000,5.420000,197000
2018-08-06,5.410000,5.580000,5.360000,5.430000,5.430000,114700
2018-08-07,5.460000,5.540000,5.410000,5.540000,5.540000,172400
2018-08-08,5.750000,6.180000,5.675000,5.900000,5.900000,570500
2018-08-09,5.880000,6.362000,5.800000,6.280000,6.280000,550600
2018-08-10,6.230000,6.340000,6.151000,6.220000,6.220000,293400
2018-08-13,6.200000,6.270000,6.000000,6.060000,6.060000,205200
2018-08-14,6.290000,6.590000,6.210000,6.280000,6.280000,520500
2018-08-15,6.190000,6.240000,5.990000,6.050000,6.050000,372700
2018-08-16,6.160000,6.255000,6.030000,6.170000,6.170000,254700
2018-08-17,6.140000,6.180000,5.970000,6.000000,6.000000,352000
2018-08-20,6.000000,6.130000,5.890000,6.050000,6.050000,499400
2018-08-21,6.020000,6.200000,5.980000,6.120000,6.120000,362400
2018-08-22,6.300000,6.550000,6.300000,6.450000,6.450000,695800
2018-08-23,6.440000,6.510000,6.310000,6.450000,6.450000,280000
2018-08-24,6.470000,6.515000,6.260000,6.310000,6.310000,250900
2018-08-27,6.350000,6.490000,6.200000,6.470000,6.470000,410300
2018-08-28,6.460000,6.530000,6.240000,6.370000,6.370000,306400
2018-08-29,6.380000,6.590000,6.380000,6.490000,6.490000,390100
2018-08-30,6.490000,6.559000,6.450000,6.510000,6.510000,280900
2018-08-31,6.520000,6.800000,6.460000,6.750000,6.750000,622600
2018-09-04,6.770000,6.820000,6.620000,6.750000,6.750000,486800
2018-09-05,6.760000,6.890000,6.570000,6.820000,6.820000,445100
2018-09-06,6.800000,6.850000,6.560000,6.690000,6.690000,398500
2018-09-07,6.990000,7.040000,6.830000,6.990000,6.990000,508000
2018-09-10,7.000000,7.020000,6.780000,6.840000,6.840000,389300
2018-09-11,6.810000,6.868000,6.580000,6.620000,6.620000,385800
2018-09-12,6.610000,6.750000,6.510000,6.600000,6.600000,369800
2018-09-13,6.540000,6.610000,6.360000,6.370000,6.370000,384700
2018-09-14,6.370000,6.415000,6.120000,6.200000,6.200000,315600
2018-09-17,6.190000,6.330000,6.130000,6.140000,6.140000,237800
2018-09-18,6.150000,6.350000,6.130000,6.280000,6.280000,390900
2018-09-19,6.270000,6.530000,6.260000,6.430000,6.430000,308900
2018-09-20,6.500000,6.550000,6.390000,6.430000,6.430000,424100
2018-09-21,6.450000,6.465000,6.350000,6.450000,6.450000,571800
2018-09-24,6.450000,6.500000,6.350000,6.440000,6.440000,209500
2018-09-25,6.460000,6.700000,6.460000,6.620000,6.620000,553000
2018-09-26,6.680000,7.170000,6.660000,6.930000,6.930000,1224600
2018-09-27,6.920000,7.040000,6.800000,6.970000,6.970000,444100
2018-09-28,6.750000,7.070000,6.750000,6.880000,6.880000,350000
2018-10-01,6.920000,7.310000,6.920000,7.110000,7.110000,742600
2018-10-02,7.100000,7.130000,6.620000,6.790000,6.790000,599400
2018-10-03,6.830000,6.935000,6.720000,6.880000,6.880000,297300
2018-10-04,6.850000,6.913000,6.510000,6.530000,6.530000,385900
2018-10-05,6.550000,6.580000,6.120000,6.200000,6.200000,476500
2018-10-08,6.180000,6.210000,6.010000,6.140000,6.140000,290600
2018-10-09,6.110000,6.390000,6.040000,6.230000,6.230000,249700
2018-10-10,6.210000,6.400000,5.860000,5.880000,5.880000,401700
2018-10-11,5.850000,6.250000,5.850000,6.080000,6.080000,395000
2018-10-12,6.210000,6.259000,5.940000,6.080000,6.080000,304200
2018-10-15,6.140000,6.280000,5.970000,6.160000,6.160000,225100
2018-10-16,6.220000,6.490000,6.100000,6.460000,6.460000,361200
2018-10-17,6.450000,6.460000,6.180000,6.370000,6.370000,239000
2018-10-18,6.360000,6.490000,6.113000,6.180000,6.180000,181800
2018-10-19,6.130000,6.400000,6.020000,6.170000,6.170000,320700
2018-10-22,6.180000,6.190000,5.850000,6.010000,6.010000,409200
2018-10-23,5.860000,6.060000,5.675000,5.840000,5.840000,414000
2018-10-24,5.860000,5.970000,5.280000,5.290000,5.290000,613900
2018-10-25,5.490000,5.590000,5.300000,5.390000,5.390000,541500
